event_name,event_type,day_of_week,start_time,location,promotion_channel,expected_audience,actual_attendance,budget,feedback_score,feedback_text
Applied Robotics Meetup,Social Event,Tuesday,4PM,Online,LinkedIn,171,197,7711,2.6,Felt underprepared for the number of attendees
Campus Cybersecurity Symposium,Social Event,Saturday,2PM,University Center,Flyers,436,324,2400,2.7,Too crowded and poorly managed
Open Robotics Forum,Career Fair,Wednesday,4PM,Student Center,Instagram,244,403,6890,3.3,Interesting but promotion was weak
Applied Data Science Summit,Seminar,Thursday,10AM,Library,LinkedIn,245,177,5672,2.4,Felt underprepared for the number of attendees
Open Design Night,Social Event,Saturday,2PM,Online,Multiple,383,523,4966,3.2,Interesting but promotion was weak
Applied Research Night,Workshop,Wednesday,6PM,Online,LinkedIn,445,603,4461,3.3,Average event could improve timing
Annual AI Summit,Networking,Friday,2PM,Engineering Hall,Flyers,330,219,673,2.8,Felt underprepared for the number of attendees
Open Design Meetup,Career Fair,Monday,6PM,University Center,LinkedIn,229,252,4094,2.7,Felt underprepared for the number of attendees
Applied AI Showcase,Workshop,Monday,6PM,University Center,Email,354,391,4052,2.8,Felt underprepared for the number of attendees
Regional Innovation Meetup,Workshop,Monday,6PM,Engineering Hall,LinkedIn,386,413,9774,3.2,Good organization and networking
Applied Entrepreneurship Workshop,Research Talk,Wednesday,4PM,University Center,LinkedIn,191,182,7495,3.3,Average event could improve timing
Open Design Meetup,Networking,Monday,2PM,University Center,LinkedIn,248,213,5950,3.8,Good organization and networking
Collaborative AI Meetup,Career Fair,Monday,4PM,Engineering Hall,Multiple,251,347,3423,2.7,Felt underprepared for the number of attendees
Annual AI Summit,Social Event,Thursday,12PM,Student Center,Email,276,371,4743,3.2,Good organization and networking
Applied Data Science Summit,Social Event,Saturday,2PM,Online,Email,304,296,2938,3.1,Average event could improve timing
Interactive Innovation Night,Hackathon,Thursday,2PM,Engineering Hall,Flyers,250,258,9914,2.9,Too crowded and poorly managed
Advanced Innovation Night,Career Fair,Thursday,4PM,Online,Email,326,607,4200,3.3,Good organization and networking
Open Cloud Computing Summit,Seminar,Thursday,10AM,Student Center,Multiple,233,301,5963,3.4,Average event could improve timing
Collaborative Design Showcase,Hackathon,Saturday,10AM,Library,Multiple,486,428,6071,3.2,Good organization and networking
Community Cloud Computing Summit,Networking,Tuesday,6PM,University Center,LinkedIn,388,367,3629,2.5,"Turnout was disappointing, hard to stay engaged"
Global Robotics Summit,Hackathon,Saturday,2PM,Online,Email,373,445,7675,3.1,Average event could improve timing
Applied Design Symposium,Networking,Monday,6PM,Engineering Hall,LinkedIn,249,203,1532,2.8,Felt underprepared for the number of attendees
Annual Cloud Computing Summit,Social Event,Thursday,10AM,University Center,Flyers,78,77,6033,3.1,Average event could improve timing
Regional Data Science Showcase,Networking,Saturday,6PM,Online,Multiple,126,191,9992,4.0,Amazing event and very informative
Applied Robotics Summit,Networking,Thursday,10AM,Online,Multiple,73,115,4476,2.9,Felt underprepared for the number of attendees
Regional AI Summit,Networking,Saturday,10AM,Library,Email,283,138,3296,1.3,Felt underprepared for the number of attendees
Emerging Innovation Showcase,Career Fair,Friday,6PM,Engineering Hall,Email,461,528,3820,3.2,Interesting but promotion was weak
Annual Research Meetup,Career Fair,Wednesday,10AM,Student Center,Multiple,120,169,5768,3.3,Good organization and networking
Community Entrepreneurship Forum,Research Talk,Monday,10AM,Library,Instagram,437,242,7301,2.5,Too crowded and poorly managed
Modern Cloud Computing Night,Networking,Thursday,12PM,Student Center,Email,118,116,2137,1.9,Felt underprepared for the number of attendees
Community Networking Forum,Networking,Monday,4PM,University Center,Email,53,43,3439,2.9,Too crowded and poorly managed
Collaborative Cloud Computing Meetup,Research Talk,Thursday,4PM,Engineering Hall,Instagram,123,127,4939,3.3,Average event could improve timing
Regional Networking Night,Networking,Friday,10AM,Student Center,Instagram,417,416,8690,2.6,Felt underprepared for the number of attendees
Regional Product Summit,Seminar,Wednesday,2PM,Online,Email,335,292,4360,2.6,Too crowded and poorly managed
Annual Career Summit,Social Event,Wednesday,6PM,Student Center,Instagram,287,428,3909,3.0,Interesting but promotion was weak
Applied Entrepreneurship Workshop,Seminar,Tuesday,4PM,Online,Instagram,131,106,1206,2.6,Too crowded and poorly managed
Regional Innovation Summit,Networking,Thursday,2PM,Library,Multiple,462,544,7924,3.0,Good organization and networking
Global Innovation Symposium,Social Event,Tuesday,12PM,University Center,LinkedIn,313,278,2401,3.1,Good organization and networking
Regional Entrepreneurship Meetup,Social Event,Friday,2PM,Online,Instagram,432,459,5836,2.9,Too crowded and poorly managed
Modern Cybersecurity Summit,Workshop,Tuesday,4PM,Engineering Hall,LinkedIn,162,150,1704,2.4,"Turnout was disappointing, hard to stay engaged"
Campus Cybersecurity Showcase,Career Fair,Tuesday,12PM,Student Center,LinkedIn,141,175,6846,3.5,Interesting but promotion was weak
Community Research Summit,Networking,Saturday,2PM,Library,Instagram,221,141,2584,2.1,Too crowded and poorly managed
Global Design Forum,Research Talk,Tuesday,10AM,Online,LinkedIn,264,204,3304,2.7,"Turnout was disappointing, hard to stay engaged"
Advanced Product Symposium,Networking,Saturday,6PM,Engineering Hall,Multiple,333,389,4263,3.0,Good organization and networking
Advanced Innovation Night,Seminar,Tuesday,6PM,Online,LinkedIn,192,179,737,2.5,Felt underprepared for the number of attendees
Annual Cloud Computing Summit,Networking,Tuesday,2PM,Online,Multiple,163,228,2940,3.5,Average event could improve timing
Community AI Symposium,Workshop,Thursday,6PM,University Center,LinkedIn,321,452,6960,3.4,Interesting but promotion was weak
Campus Entrepreneurship Workshop,Career Fair,Tuesday,10AM,Student Center,Email,404,397,7162,2.9,Too crowded and poorly managed
Community Cybersecurity Night,Networking,Saturday,10AM,University Center,LinkedIn,392,263,5494,2.6,Too crowded and poorly managed
Advanced Robotics Night,Social Event,Saturday,6PM,University Center,LinkedIn,287,304,2771,3.2,Average event could improve timing
Annual Design Symposium,Seminar,Wednesday,4PM,University Center,Email,247,234,5954,2.6,Felt underprepared for the number of attendees
Regional Research Workshop,Seminar,Wednesday,6PM,Student Center,Multiple,456,538,3893,2.8,Felt underprepared for the number of attendees
Collaborative Research Summit,Hackathon,Monday,6PM,Library,Email,106,113,6774,3.1,Interesting but promotion was weak
Emerging Career Forum,Research Talk,Wednesday,12PM,Student Center,Email,337,271,3854,2.3,Too crowded and poorly managed
Emerging Design Forum,Workshop,Saturday,4PM,Student Center,Instagram,435,407,4193,3.0,Interesting but promotion was weak
Collaborative Product Forum,Hackathon,Thursday,2PM,University Center,Email,240,353,6156,2.1,"Turnout was disappointing, hard to stay engaged"
Emerging Networking Showcase,Seminar,Monday,4PM,Student Center,Multiple,199,228,7905,3.0,Average event could improve timing
Open AI Summit,Seminar,Monday,12PM,Online,Email,91,84,6900,3.1,Good organization and networking
Applied Data Science Workshop,Networking,Wednesday,10AM,Engineering Hall,LinkedIn,127,113,3846,3.0,Average event could improve timing
Community Networking Summit,Career Fair,Saturday,6PM,Engineering Hall,LinkedIn,227,292,7383,3.6,Interesting but promotion was weak
Emerging Cloud Computing Forum,Research Talk,Tuesday,10AM,University Center,Instagram,477,369,9013,2.3,Felt underprepared for the number of attendees
Collaborative Cybersecurity Workshop,Research Talk,Saturday,2PM,Online,Multiple,390,402,9186,3.1,Average event could improve timing
Open Data Science Meetup,Social Event,Tuesday,2PM,Engineering Hall,Flyers,166,137,8433,3.2,Interesting but promotion was weak
Campus Robotics Night,Research Talk,Wednesday,4PM,Engineering Hall,Multiple,132,179,9270,3.2,Interesting but promotion was weak
Modern Robotics Symposium,Hackathon,Saturday,12PM,Engineering Hall,Instagram,109,95,1174,3.2,Interesting but promotion was weak
Emerging Entrepreneurship Meetup,Research Talk,Wednesday,12PM,Engineering Hall,Multiple,412,343,1068,2.4,Felt underprepared for the number of attendees
Advanced Cybersecurity Night,Research Talk,Thursday,6PM,Engineering Hall,Multiple,204,282,2490,3.1,Good organization and networking
Emerging Networking Showcase,Networking,Thursday,2PM,Engineering Hall,Email,428,494,9448,3.1,Average event could improve timing
Collaborative Entrepreneurship Showcase,Research Talk,Thursday,2PM,Student Center,Instagram,459,429,9760,3.0,Average event could improve timing
Open Data Science Symposium,Workshop,Saturday,4PM,University Center,Instagram,397,512,9526,2.8,Too crowded and poorly managed
Applied Career Forum,Social Event,Tuesday,4PM,Library,Email,217,157,1401,3.2,Average event could improve timing
Applied Networking Summit,Social Event,Tuesday,2PM,Engineering Hall,Email,92,86,9321,3.3,Interesting but promotion was weak
Applied Entrepreneurship Symposium,Social Event,Thursday,12PM,Online,Flyers,358,415,8881,3.6,Good organization and networking
Emerging Entrepreneurship Workshop,Networking,Saturday,4PM,Library,LinkedIn,240,136,699,2.6,"Turnout was disappointing, hard to stay engaged"
Open Robotics Night,Career Fair,Friday,10AM,Engineering Hall,LinkedIn,429,470,7309,2.9,"Turnout was disappointing, hard to stay engaged"
Global Design Symposium,Hackathon,Thursday,4PM,Engineering Hall,Multiple,356,542,1910,3.3,Good organization and networking
Annual Cloud Computing Showcase,Seminar,Friday,2PM,University Center,Multiple,437,511,6656,3.7,Good organization and networking
Global Robotics Night,Research Talk,Thursday,12PM,Student Center,LinkedIn,413,403,9804,3.2,Good organization and networking
Open Cybersecurity Forum,Career Fair,Wednesday,6PM,Online,Email,471,885,5447,2.5,Felt underprepared for the number of attendees
Applied Networking Symposium,Hackathon,Thursday,12PM,University Center,Email,128,187,4803,2.8,"Turnout was disappointing, hard to stay engaged"
Regional Design Symposium,Workshop,Saturday,2PM,Online,Instagram,301,355,4509,3.2,Good organization and networking
Applied Networking Symposium,Workshop,Friday,2PM,Student Center,LinkedIn,339,409,7644,3.8,Interesting but promotion was weak
Modern Data Science Meetup,Hackathon,Monday,2PM,Student Center,Multiple,58,80,4752,3.8,Good organization and networking
Advanced Networking Workshop,Research Talk,Thursday,12PM,Library,Instagram,77,70,4967,2.6,"Turnout was disappointing, hard to stay engaged"
Campus AI Forum,Workshop,Wednesday,2PM,Student Center,Email,313,310,3675,3.2,Average event could improve timing
Applied Innovation Showcase,Seminar,Tuesday,6PM,Library,Flyers,473,355,5432,2.5,"Turnout was disappointing, hard to stay engaged"
Campus Product Workshop,Research Talk,Monday,6PM,Student Center,Flyers,471,295,2854,2.0,Too crowded and poorly managed
Interactive Career Night,Research Talk,Thursday,4PM,Library,Instagram,102,86,4069,3.1,Good organization and networking
Regional Cloud Computing Symposium,Networking,Friday,6PM,Student Center,Multiple,414,666,9529,3.1,Average event could improve timing
Emerging Robotics Night,Workshop,Monday,12PM,University Center,LinkedIn,228,209,5604,3.1,Average event could improve timing
Community AI Meetup,Career Fair,Friday,6PM,Library,Instagram,413,547,5491,3.1,Good organization and networking
Regional Cloud Computing Showcase,Networking,Saturday,12PM,Engineering Hall,Flyers,114,65,3938,2.6,Too crowded and poorly managed
Global AI Summit,Seminar,Monday,10AM,University Center,LinkedIn,437,348,7565,2.9,Too crowded and poorly managed
Annual AI Workshop,Seminar,Saturday,6PM,Student Center,Email,290,252,2448,3.2,Interesting but promotion was weak
Applied Entrepreneurship Summit,Hackathon,Monday,10AM,University Center,Multiple,155,178,3777,2.8,Too crowded and poorly managed
Community Research Meetup,Workshop,Tuesday,2PM,Student Center,Flyers,230,191,3130,3.2,Average event could improve timing
Global Innovation Meetup,Social Event,Friday,10AM,University Center,Multiple,440,491,729,3.5,Average event could improve timing
Collaborative Entrepreneurship Showcase,Research Talk,Tuesday,6PM,University Center,Email,159,149,8760,3.1,Average event could improve timing
Advanced Career Forum,Social Event,Tuesday,4PM,University Center,Instagram,477,642,6313,3.1,Interesting but promotion was weak
Campus Cybersecurity Night,Networking,Thursday,10AM,Library,Email,288,182,2307,2.5,Felt underprepared for the number of attendees
Regional Cloud Computing Workshop,Research Talk,Saturday,2PM,Student Center,Email,92,64,5875,2.6,"Turnout was disappointing, hard to stay engaged"
Advanced Career Night,Career Fair,Friday,2PM,Online,Instagram,333,541,7172,3.0,Interesting but promotion was weak
Regional Cloud Computing Symposium,Workshop,Thursday,2PM,Engineering Hall,Email,395,547,8555,2.5,Felt underprepared for the number of attendees
Modern AI Showcase,Social Event,Saturday,10AM,University Center,Instagram,252,228,7063,3.9,Average event could improve timing
Global Cloud Computing Showcase,Networking,Monday,2PM,Engineering Hall,Flyers,152,103,7123,3.0,Good organization and networking
Collaborative Networking Forum,Career Fair,Wednesday,6PM,Student Center,Flyers,437,531,7057,3.9,Interesting but promotion was weak
Regional Design Symposium,Career Fair,Thursday,6PM,Library,Instagram,443,782,7948,3.2,Good organization and networking
Collaborative Networking Summit,Career Fair,Tuesday,12PM,University Center,Email,427,473,1365,2.9,Too crowded and poorly managed
Applied Product Night,Networking,Thursday,6PM,Library,Instagram,205,218,2078,3.3,Good organization and networking
Interactive Entrepreneurship Night,Career Fair,Thursday,12PM,Library,LinkedIn,301,337,8770,3.5,Interesting but promotion was weak
Collaborative Entrepreneurship Night,Seminar,Friday,6PM,University Center,Email,270,302,2451,2.8,"Turnout was disappointing, hard to stay engaged"
Open Innovation Meetup,Career Fair,Thursday,4PM,University Center,Email,140,218,9620,3.5,Average event could improve timing
Applied Cybersecurity Showcase,Career Fair,Thursday,12PM,Library,LinkedIn,299,296,2292,2.9,Felt underprepared for the number of attendees
Interactive Data Science Symposium,Social Event,Saturday,6PM,Student Center,LinkedIn,293,340,9711,3.5,Good organization and networking
Emerging Data Science Summit,Research Talk,Thursday,6PM,Online,Multiple,396,637,6279,3.6,Interesting but promotion was weak
Emerging Cloud Computing Summit,Social Event,Monday,12PM,Library,Flyers,464,248,940,2.5,Felt underprepared for the number of attendees
Global Networking Workshop,Career Fair,Wednesday,2PM,Online,Flyers,78,75,4501,3.6,Good organization and networking
Interactive Entrepreneurship Summit,Social Event,Monday,10AM,Library,Email,222,146,3281,2.0,Too crowded and poorly managed
Community Cybersecurity Forum,Career Fair,Saturday,4PM,Student Center,Multiple,265,338,4868,2.7,Too crowded and poorly managed
Collaborative AI Showcase,Workshop,Wednesday,4PM,Student Center,LinkedIn,215,281,9880,2.8,Too crowded and poorly managed
Modern Design Workshop,Hackathon,Tuesday,2PM,Online,Multiple,465,819,6063,2.1,Too crowded and poorly managed
Annual Design Forum,Career Fair,Tuesday,4PM,University Center,Multiple,159,305,5208,2.2,"Turnout was disappointing, hard to stay engaged"
Regional Research Night,Career Fair,Tuesday,6PM,University Center,Multiple,98,185,6018,3.4,Interesting but promotion was weak
Open Product Night,Social Event,Thursday,4PM,Engineering Hall,Flyers,457,432,1756,3.5,Average event could improve timing
Modern Product Symposium,Research Talk,Thursday,6PM,Library,Instagram,262,238,7091,2.7,"Turnout was disappointing, hard to stay engaged"
Collaborative Career Showcase,Hackathon,Friday,12PM,University Center,Multiple,491,786,3556,3.9,Average event could improve timing
Community Networking Summit,Seminar,Saturday,4PM,Library,Multiple,464,374,7606,2.7,Felt underprepared for the number of attendees
Applied Design Night,Social Event,Tuesday,2PM,Online,Instagram,173,187,2965,3.9,Average event could improve timing
Open Networking Meetup,Career Fair,Thursday,2PM,University Center,Instagram,483,785,7257,3.7,Interesting but promotion was weak
Global Data Science Meetup,Research Talk,Saturday,6PM,Engineering Hall,LinkedIn,172,123,2360,2.4,Too crowded and poorly managed
Annual Career Meetup,Seminar,Wednesday,4PM,Online,Multiple,273,481,7414,3.3,Average event could improve timing
Applied Data Science Showcase,Research Talk,Tuesday,10AM,Library,Flyers,387,192,9522,2.8,Too crowded and poorly managed
Advanced Entrepreneurship Showcase,Career Fair,Monday,10AM,University Center,Flyers,358,297,5382,2.6,Too crowded and poorly managed
Interactive AI Forum,Hackathon,Monday,4PM,Engineering Hall,Instagram,107,143,9854,2.0,Felt underprepared for the number of attendees
Regional Entrepreneurship Workshop,Hackathon,Friday,6PM,Library,LinkedIn,96,95,4400,3.4,Average event could improve timing
Campus Career Workshop,Seminar,Friday,4PM,Engineering Hall,LinkedIn,161,123,2863,2.4,Too crowded and poorly managed
Community AI Workshop,Career Fair,Thursday,2PM,Student Center,Email,301,412,9240,3.1,Interesting but promotion was weak
Collaborative Innovation Workshop,Social Event,Thursday,4PM,Engineering Hall,Flyers,500,477,2874,3.1,Interesting but promotion was weak
Applied Career Workshop,Seminar,Wednesday,10AM,Student Center,Email,480,316,1395,2.8,Felt underprepared for the number of attendees
Advanced Data Science Symposium,Social Event,Thursday,2PM,Library,Email,323,315,4372,2.9,"Turnout was disappointing, hard to stay engaged"
Applied Entrepreneurship Night,Research Talk,Wednesday,10AM,Engineering Hall,Flyers,157,79,3125,2.5,"Turnout was disappointing, hard to stay engaged"
Collaborative Innovation Symposium,Seminar,Saturday,4PM,University Center,Flyers,493,322,1812,3.1,Interesting but promotion was weak
Regional Entrepreneurship Symposium,Seminar,Wednesday,4PM,University Center,Instagram,407,442,4775,2.4,Felt underprepared for the number of attendees
Applied Networking Meetup,Social Event,Saturday,6PM,Library,LinkedIn,405,272,948,2.0,Too crowded and poorly managed
Modern AI Summit,Hackathon,Thursday,12PM,University Center,LinkedIn,152,186,5506,2.7,"Turnout was disappointing, hard to stay engaged"
Collaborative Cybersecurity Night,Networking,Tuesday,6PM,Engineering Hall,Multiple,401,504,7222,3.0,Interesting but promotion was weak
Global AI Symposium,Hackathon,Tuesday,2PM,Engineering Hall,Multiple,473,639,5867,3.4,Interesting but promotion was weak
Interactive Networking Forum,Research Talk,Tuesday,4PM,Online,Multiple,164,169,839,3.5,Good organization and networking
Advanced Research Symposium,Hackathon,Tuesday,10AM,Online,Instagram,184,212,3264,3.1,Good organization and networking
Annual Innovation Forum,Social Event,Wednesday,12PM,University Center,Flyers,137,134,9793,3.0,Good organization and networking
Open Design Showcase,Career Fair,Thursday,4PM,University Center,Instagram,415,657,3828,3.6,Good organization and networking
Community Networking Meetup,Career Fair,Thursday,12PM,Online,Instagram,357,530,4031,3.1,Interesting but promotion was weak
Modern Cybersecurity Meetup,Career Fair,Tuesday,4PM,Engineering Hall,Email,198,223,4789,3.0,Good organization and networking
Community Cloud Computing Showcase,Research Talk,Friday,4PM,University Center,Email,290,236,2682,3.2,Interesting but promotion was weak
Interactive Data Science Summit,Networking,Saturday,4PM,Online,Multiple,181,196,1696,3.5,Good organization and networking
Open Product Forum,Research Talk,Tuesday,4PM,Library,Multiple,393,328,1245,3.0,Good organization and networking
Campus Design Meetup,Career Fair,Wednesday,4PM,Library,Instagram,336,372,1173,2.9,Felt underprepared for the number of attendees
Interactive Cloud Computing Meetup,Social Event,Thursday,2PM,Online,Instagram,95,153,5698,2.6,Felt underprepared for the number of attendees
Emerging Cloud Computing Workshop,Research Talk,Monday,2PM,University Center,Instagram,305,212,5103,2.3,Felt underprepared for the number of attendees
Community Cybersecurity Night,Research Talk,Friday,2PM,Student Center,Flyers,273,181,3203,2.3,"Turnout was disappointing, hard to stay engaged"
Campus Data Science Symposium,Networking,Friday,4PM,University Center,Instagram,126,139,1394,2.8,Too crowded and poorly managed
Emerging Innovation Forum,Research Talk,Tuesday,4PM,Online,Email,303,244,1168,2.6,"Turnout was disappointing, hard to stay engaged"
Global Design Meetup,Career Fair,Thursday,4PM,University Center,Instagram,113,168,6227,3.1,Good organization and networking
Annual Product Night,Seminar,Tuesday,6PM,Library,Multiple,389,456,3979,3.2,Average event could improve timing
Regional Entrepreneurship Summit,Social Event,Tuesday,4PM,University Center,Instagram,443,548,8661,2.7,Felt underprepared for the number of attendees
Campus Data Science Summit,Research Talk,Saturday,10AM,Online,Flyers,352,163,2237,2.4,"Turnout was disappointing, hard to stay engaged"
Annual Networking Forum,Career Fair,Saturday,4PM,Online,Flyers,354,315,595,3.0,Interesting but promotion was weak
Open Entrepreneurship Night,Career Fair,Wednesday,6PM,Engineering Hall,Instagram,491,733,1297,3.0,Average event could improve timing
Open Robotics Meetup,Workshop,Saturday,10AM,Student Center,Multiple,245,212,2016,2.7,"Turnout was disappointing, hard to stay engaged"
Open Networking Night,Seminar,Thursday,10AM,University Center,Instagram,133,140,6865,2.7,"Turnout was disappointing, hard to stay engaged"
Open Networking Forum,Hackathon,Tuesday,10AM,Library,LinkedIn,460,383,7583,3.1,Average event could improve timing
Advanced Cybersecurity Workshop,Networking,Wednesday,10AM,Library,Multiple,152,162,8521,3.2,Interesting but promotion was weak
Campus Cloud Computing Showcase,Social Event,Friday,4PM,University Center,LinkedIn,465,532,6533,3.3,Average event could improve timing
Applied Innovation Meetup,Career Fair,Monday,10AM,Student Center,Flyers,287,181,4173,2.4,Felt underprepared for the number of attendees
Collaborative Design Meetup,Career Fair,Friday,6PM,University Center,Flyers,289,351,7665,3.0,Good organization and networking
Annual Product Summit,Networking,Saturday,2PM,Engineering Hall,Multiple,268,294,5341,3.6,Average event could improve timing
Applied Innovation Forum,Workshop,Friday,10AM,Student Center,LinkedIn,261,191,2048,3.8,Interesting but promotion was weak
Regional Innovation Showcase,Seminar,Wednesday,2PM,Library,Multiple,91,109,8748,3.1,Good organization and networking
Open Entrepreneurship Forum,Career Fair,Tuesday,12PM,Online,Email,92,137,7319,3.1,Average event could improve timing
Campus AI Showcase,Hackathon,Thursday,4PM,Student Center,Flyers,224,252,3566,3.1,Good organization and networking
Regional Data Science Meetup,Social Event,Wednesday,10AM,Online,Multiple,59,72,595,2.9,"Turnout was disappointing, hard to stay engaged"
Modern Research Workshop,Hackathon,Thursday,4PM,Online,Multiple,421,924,8474,2.5,"Turnout was disappointing, hard to stay engaged"
Global AI Night,Hackathon,Saturday,4PM,Library,Email,114,88,2713,3.6,Good organization and networking
Global Cloud Computing Night,Workshop,Saturday,12PM,University Center,Instagram,296,293,2878,2.8,Felt underprepared for the number of attendees
Collaborative Cloud Computing Summit,Hackathon,Friday,12PM,University Center,Flyers,444,483,8092,3.2,Good organization and networking
Modern Career Meetup,Workshop,Tuesday,12PM,Online,LinkedIn,291,330,821,2.9,"Turnout was disappointing, hard to stay engaged"
Community Cloud Computing Symposium,Research Talk,Friday,4PM,University Center,Flyers,54,39,2182,2.7,Felt underprepared for the number of attendees
Advanced Cybersecurity Forum,Seminar,Thursday,6PM,Student Center,Multiple,198,252,1106,2.9,"Turnout was disappointing, hard to stay engaged"
Annual Cloud Computing Forum,Social Event,Saturday,6PM,Online,Instagram,415,433,1494,2.9,Felt underprepared for the number of attendees
Modern Networking Workshop,Research Talk,Friday,10AM,Library,LinkedIn,292,163,2415,1.9,"Turnout was disappointing, hard to stay engaged"
Emerging Cybersecurity Meetup,Career Fair,Saturday,4PM,University Center,Instagram,197,248,3649,3.2,Interesting but promotion was weak
Open Innovation Showcase,Social Event,Tuesday,6PM,Library,Multiple,486,767,8175,2.9,Too crowded and poorly managed
Community Innovation Summit,Career Fair,Thursday,2PM,Online,Instagram,368,569,3894,3.2,Interesting but promotion was weak
Advanced Cybersecurity Workshop,Hackathon,Thursday,12PM,Engineering Hall,Instagram,130,221,8563,2.9,Too crowded and poorly managed
Applied Robotics Meetup,Networking,Tuesday,6PM,University Center,Email,233,293,4773,2.9,"Turnout was disappointing, hard to stay engaged"
Global AI Forum,Seminar,Friday,10AM,University Center,Flyers,270,156,2367,2.1,Felt underprepared for the number of attendees
Open Robotics Night,Networking,Thursday,2PM,Library,Flyers,443,306,1264,2.6,Felt underprepared for the number of attendees
Regional Research Forum,Hackathon,Friday,6PM,University Center,Email,274,460,7989,3.5,Good organization and networking
Regional Career Workshop,Seminar,Monday,6PM,University Center,Multiple,103,141,3236,2.9,Felt underprepared for the number of attendees
Applied Entrepreneurship Workshop,Networking,Saturday,2PM,Online,Multiple,305,305,2126,2.4,Too crowded and poorly managed
Collaborative Entrepreneurship Workshop,Seminar,Tuesday,10AM,Engineering Hall,LinkedIn,262,158,607,2.6,Too crowded and poorly managed
Applied Networking Meetup,Social Event,Tuesday,10AM,Library,Flyers,416,256,7299,3.0,Interesting but promotion was weak
Advanced Cybersecurity Night,Networking,Friday,4PM,Engineering Hall,Instagram,460,494,7525,3.4,Interesting but promotion was weak
Interactive AI Summit,Social Event,Saturday,2PM,University Center,LinkedIn,124,104,662,2.4,Felt underprepared for the number of attendees
Applied Networking Meetup,Research Talk,Wednesday,4PM,Engineering Hall,LinkedIn,81,77,6943,3.1,Good organization and networking
Community Innovation Workshop,Social Event,Monday,6PM,Library,LinkedIn,255,284,9570,3.5,Interesting but promotion was weak
Applied Career Forum,Research Talk,Monday,2PM,Student Center,Multiple,125,136,7118,3.0,Interesting but promotion was weak
Regional Data Science Forum,Social Event,Friday,4PM,Library,LinkedIn,447,367,3732,2.6,"Turnout was disappointing, hard to stay engaged"
Interactive Product Workshop,Research Talk,Thursday,12PM,Student Center,Multiple,195,268,4001,2.9,Too crowded and poorly managed
Open Career Night,Social Event,Wednesday,12PM,University Center,Email,457,619,9346,3.0,Average event could improve timing
Open Networking Forum,Seminar,Wednesday,4PM,Student Center,Email,424,375,1482,2.5,"Turnout was disappointing, hard to stay engaged"
Annual Cybersecurity Workshop,Research Talk,Monday,10AM,University Center,LinkedIn,202,127,9878,2.6,Felt underprepared for the number of attendees
Open Design Showcase,Networking,Saturday,6PM,Student Center,Multiple,482,605,4331,3.3,Interesting but promotion was weak
Emerging Product Forum,Seminar,Saturday,6PM,Engineering Hall,LinkedIn,316,281,4557,3.0,Good organization and networking
Regional AI Summit,Networking,Wednesday,4PM,University Center,Instagram,414,564,7474,3.1,Interesting but promotion was weak
Interactive Cloud Computing Forum,Career Fair,Tuesday,4PM,Engineering Hall,LinkedIn,89,110,6550,2.7,Felt underprepared for the number of attendees
Community Cybersecurity Showcase,Social Event,Friday,4PM,Library,Multiple,305,346,7437,3.1,Interesting but promotion was weak
Community Product Night,Career Fair,Tuesday,12PM,Student Center,Instagram,298,397,7999,3.9,Good organization and networking
Emerging AI Forum,Social Event,Monday,12PM,Online,LinkedIn,66,74,3069,3.3,Average event could improve timing
Interactive Robotics Summit,Seminar,Thursday,10AM,University Center,Flyers,342,218,5244,2.2,Too crowded and poorly managed
Campus Research Symposium,Research Talk,Wednesday,2PM,Library,Flyers,298,161,958,2.6,Too crowded and poorly managed
Regional Product Workshop,Workshop,Wednesday,2PM,Engineering Hall,Instagram,469,618,8508,3.9,Good organization and networking
Emerging Cloud Computing Symposium,Workshop,Monday,4PM,Online,Multiple,208,359,9769,3.1,Interesting but promotion was weak
Applied Cybersecurity Meetup,Seminar,Saturday,6PM,Engineering Hall,Instagram,308,279,8051,2.9,"Turnout was disappointing, hard to stay engaged"
Global Cloud Computing Workshop,Seminar,Saturday,2PM,University Center,Multiple,390,383,7211,3.6,Interesting but promotion was weak
Annual Research Showcase,Social Event,Monday,4PM,Library,Email,493,379,3213,2.6,Felt underprepared for the number of attendees
Global Research Forum,Seminar,Saturday,2PM,Student Center,Email,379,263,9664,3.0,Good organization and networking
Annual AI Showcase,Social Event,Monday,6PM,Student Center,Instagram,434,574,8296,2.9,Felt underprepared for the number of attendees
Regional Product Forum,Social Event,Tuesday,10AM,Library,Instagram,175,139,9995,2.6,"Turnout was disappointing, hard to stay engaged"
Advanced Robotics Symposium,Research Talk,Thursday,6PM,University Center,LinkedIn,491,487,881,3.4,Interesting but promotion was weak
Interactive Robotics Workshop,Workshop,Friday,2PM,Online,Flyers,96,90,2378,3.5,Good organization and networking
Campus Data Science Forum,Networking,Tuesday,2PM,University Center,Instagram,207,204,7172,3.0,Average event could improve timing
Campus Cloud Computing Workshop,Research Talk,Tuesday,10AM,University Center,Flyers,249,142,2117,2.9,"Turnout was disappointing, hard to stay engaged"
Interactive Product Symposium,Research Talk,Thursday,10AM,University Center,Instagram,172,152,4374,3.1,Interesting but promotion was weak
Collaborative Data Science Symposium,Workshop,Wednesday,10AM,Library,LinkedIn,333,271,7169,2.5,Too crowded and poorly managed
Interactive Networking Night,Hackathon,Tuesday,10AM,Library,Multiple,350,347,2163,2.9,Too crowded and poorly managed
